STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130101 01:00,0.00,g, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130111 02:00,999.99,[, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130114 00:00,999.99,], 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130114 12:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130114 13:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130114 14:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130114 15:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130114 19:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130114 20:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130116 13:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130116 14:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130116 15:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130116 16:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130116 17:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130117 05:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130117 07:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130124 02:00,999.99,[, 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130127 00:00,999.99,], 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130127 11:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130129 00:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130131 07:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130131 08:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130131 12:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130131 13:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130131 21:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130201 01:00,0.00,g, 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130202 02:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130202 04:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130202 07:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130202 15:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,236.8,42.23333,-83.53333,20130202 17:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130202 18:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130203 06:00,0.20, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130204 23:00,0.10, , 
COOP:209218,YPSILANTI E MICH U MI US,237.7,42.2475,-83.6252,20130207 21:00,0.10, , 
